stego_filename,subset,expected_type,payload_type,payload_size_class,lsb,mode,predicted_type,correct
XL-Synthetic_13_P__pptx_medium__lsb3.png,extended_xl,PPTX,PPTX,medium,3,no_markers,ZIP,0
XL-Synthetic_13_P__pptx_small__lsb1.png,extended_xl,PPTX,PPTX,small,1,full,PPTX,1
XL-Synthetic_13_P__pptx_small__lsb1.png,extended_xl,PPTX,PPTX,small,1,no_deinterleaving,PPTX,1
XL-Synthetic_13_P__pptx_small__lsb1.png,extended_xl,PPTX,PPTX,small,1,no_buffer,ZIP,0
XL-Synthetic_13_P__pptx_small__lsb1.png,extended_xl,PPTX,PPTX,small,1,no_markers,ZIP,0
XL-Synthetic_13_P__pptx_small__lsb2.png,extended_xl,PPTX,PPTX,small,2,full,PPTX,1
XL-Synthetic_13_P__pptx_small__lsb2.png,extended_xl,PPTX,PPTX,small,2,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__pptx_small__lsb2.png,extended_xl,PPTX,PPTX,small,2,no_buffer,ZIP,0
XL-Synthetic_13_P__pptx_small__lsb2.png,extended_xl,PPTX,PPTX,small,2,no_markers,ZIP,0
XL-Synthetic_13_P__pptx_small__lsb3.png,extended_xl,PPTX,PPTX,small,3,full,PPTX,1
XL-Synthetic_13_P__pptx_small__lsb3.png,extended_xl,PPTX,PPTX,small,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__pptx_small__lsb3.png,extended_xl,PPTX,PPTX,small,3,no_buffer,ZIP,0
XL-Synthetic_13_P__pptx_small__lsb3.png,extended_xl,PPTX,PPTX,small,3,no_markers,ZIP,0
XL-Synthetic_13_P__rtf_large__lsb3.png,extended_xl,RTF,RTF,large,3,full,RTF,1
XL-Synthetic_13_P__rtf_large__lsb3.png,extended_xl,RTF,RTF,large,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__rtf_large__lsb3.png,extended_xl,RTF,RTF,large,3,no_buffer,RTF,1
XL-Synthetic_13_P__rtf_large__lsb3.png,extended_xl,RTF,RTF,large,3,no_markers,RTF,1
XL-Synthetic_13_P__rtf_medium__lsb2.png,extended_xl,RTF,RTF,medium,2,full,RTF,1
XL-Synthetic_13_P__rtf_medium__lsb2.png,extended_xl,RTF,RTF,medium,2,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__rtf_medium__lsb2.png,extended_xl,RTF,RTF,medium,2,no_buffer,RTF,1
XL-Synthetic_13_P__rtf_medium__lsb2.png,extended_xl,RTF,RTF,medium,2,no_markers,RTF,1
XL-Synthetic_13_P__rtf_medium__lsb3.png,extended_xl,RTF,RTF,medium,3,full,RTF,1
XL-Synthetic_13_P__rtf_medium__lsb3.png,extended_xl,RTF,RTF,medium,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__rtf_medium__lsb3.png,extended_xl,RTF,RTF,medium,3,no_buffer,RTF,1
XL-Synthetic_13_P__rtf_medium__lsb3.png,extended_xl,RTF,RTF,medium,3,no_markers,RTF,1
XL-Synthetic_13_P__rtf_small__lsb1.png,extended_xl,RTF,RTF,small,1,full,RTF,1
XL-Synthetic_13_P__rtf_small__lsb1.png,extended_xl,RTF,RTF,small,1,no_deinterleaving,RTF,1
XL-Synthetic_13_P__rtf_small__lsb1.png,extended_xl,RTF,RTF,small,1,no_buffer,RTF,1
XL-Synthetic_13_P__rtf_small__lsb1.png,extended_xl,RTF,RTF,small,1,no_markers,RTF,1
