clean_id,evaluation_group,subset,category,filename,image_path,tested_lsb,baseline_detected_type,baseline_status,baseline_false_positive,structural_detected_type,structural_validation_status,structural_false_positive,tag_size,payload_length,tag_endian,header_hex,runtime_seconds,processing_error,error
original_xl::XL-Synthetic_14_B.bmp,original,xl,controlled_original,XL-Synthetic_14_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_14_B.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,994866021,little,,21.084573,0,
original_xl::XL-Synthetic_14_B.bmp,original,xl,controlled_original,XL-Synthetic_14_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_14_B.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,868473658,little,,20.931278,0,
original_xl::XL-Synthetic_14_P.png,original,xl,controlled_original,XL-Synthetic_14_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_14_P.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,6368358,little,,0.698708,0,
original_xl::XL-Synthetic_14_P.png,original,xl,controlled_original,XL-Synthetic_14_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_14_P.png,2,Unknown/None,no_known_signature,0,Unknown/None,no_known_signature,0,3,308374,little,d0 16 a1 e6 62 f4 71 39,0.608288,0,
original_xl::XL-Synthetic_14_P.png,original,xl,controlled_original,XL-Synthetic_14_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_14_P.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,15263174,little,,0.635476,0,
original_xl::XL-Synthetic_15_B.bmp,original,xl,controlled_original,XL-Synthetic_15_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_15_B.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,1456353183,little,,22.869536,0,
original_xl::XL-Synthetic_15_B.bmp,original,xl,controlled_original,XL-Synthetic_15_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_15_B.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,1569486275,little,,23.812590,0,
original_xl::XL-Synthetic_15_B.bmp,original,xl,controlled_original,XL-Synthetic_15_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_15_B.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,1408053986,little,,23.226937,0,
original_xl::XL-Synthetic_15_P.png,original,xl,controlled_original,XL-Synthetic_15_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_15_P.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,14655702,little,,0.728869,0,
original_xl::XL-Synthetic_15_P.png,original,xl,controlled_original,XL-Synthetic_15_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_15_P.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,5158609,little,,0.645544,0,
original_xl::XL-Synthetic_15_P.png,original,xl,controlled_original,XL-Synthetic_15_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_15_P.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,15602788,little,,0.569337,0,
original_xl::XL-Synthetic_1_B.bmp,original,xl,controlled_original,XL-Synthetic_1_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_1_B.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,no_known_signature,0,3,16129,little,0c 77 f9 fb ab 38 3a f4,3.369097,0,
original_xl::XL-Synthetic_1_B.bmp,original,xl,controlled_original,XL-Synthetic_1_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_1_B.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,4155345672,little,,3.211442,0,
original_xl::XL-Synthetic_1_B.bmp,original,xl,controlled_original,XL-Synthetic_1_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_1_B.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,1259556113,little,,3.021724,0,
original_xl::XL-Synthetic_1_P.png,original,xl,controlled_original,XL-Synthetic_1_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_1_P.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,10579308,little,,0.669391,0,
original_xl::XL-Synthetic_1_P.png,original,xl,controlled_original,XL-Synthetic_1_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_1_P.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,9730748,little,,0.671840,0,
original_xl::XL-Synthetic_1_P.png,original,xl,controlled_original,XL-Synthetic_1_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_1_P.png,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,16155597,little,,0.684912,0,
original_xl::XL-Synthetic_2_B.bmp,original,xl,controlled_original,XL-Synthetic_2_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_2_B.bmp,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,13381799,little,,4.000996,0,
original_xl::XL-Synthetic_2_B.bmp,original,xl,controlled_original,XL-Synthetic_2_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_2_B.bmp,2,Unknown/None,no_known_signature,0,Unknown/None,no_known_signature,0,4,376294,little,52 f0 86 76 f7 96 5f 1e,3.463597,0,
original_xl::XL-Synthetic_2_B.bmp,original,xl,controlled_original,XL-Synthetic_2_B.bmp,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_2_B.bmp,3,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,4,282961018,little,,3.195025,0,
original_xl::XL-Synthetic_2_P.png,original,xl,controlled_original,XL-Synthetic_2_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_2_P.png,1,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,14011606,little,,0.661940,0,
original_xl::XL-Synthetic_2_P.png,original,xl,controlled_original,XL-Synthetic_2_P.png,/home/kali/stego_dataset_expanded/covers_extended_xl/XL-Synthetic_2_P.png,2,Unknown/None,no_known_signature,0,Unknown/None,payload_length_exceeds_capacity,0,3,13775993,little,,0.641418,0,
