subset,stego_filename,stego_path,cover_filename,cover_category,cover_variant,cover_size_label,cover_format,payload_filename,payload_type,payload_size_class,lsb,expected_type,resolved_stego_path,baseline_detected_type,baseline_status,baseline_exact_correct,structural_detected_type,structural_validation_status,structural_correct,tag_size,payload_length,tag_endian,header_hex,runtime_seconds,error
core,Flat-Color_1_S__xlsx_small__lsb2.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__xlsx_small__lsb2.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P03.xlsx,xlsx,small,2,XLSX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__xlsx_small__lsb2.bmp,ZIP,signature_pk_zip,0,XLSX,validated_ooxml_xlsx,1,3,8899,little,50 4b 03 04 14 00 06 00,0.145341,
core,Flat-Color_1_S__xlsx_small__lsb3.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__xlsx_small__lsb3.bmp,Flat-Color_1_S.bmp,Flat-Color,1,S,bmp,P03.xlsx,xlsx,small,3,XLSX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_1_S__xlsx_small__lsb3.bmp,ZIP,signature_pk_zip,0,XLSX,validated_ooxml_xlsx,1,3,8899,little,50 4b 03 04 14 00 06 00,0.162549,
core,Flat-Color_2_M__docx_large__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__docx_large__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P01.docx,docx,large,3,DOCX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__docx_large__lsb3.png,ZIP,signature_pk_zip,0,DOCX,validated_ooxml_docx,1,3,1121154,little,50 4b 03 04 14 00 06 00,0.811047,
core,Flat-Color_2_M__docx_medium__lsb2.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__docx_medium__lsb2.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P01.docx,docx,medium,2,DOCX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__docx_medium__lsb2.png,ZIP,signature_pk_zip,0,DOCX,validated_ooxml_docx,1,3,511127,little,50 4b 03 04 14 00 06 00,1.059647,
core,Flat-Color_2_M__docx_medium__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__docx_medium__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P01.docx,docx,medium,3,DOCX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__docx_medium__lsb3.png,ZIP,signature_pk_zip,0,DOCX,validated_ooxml_docx,1,3,511127,little,50 4b 03 04 14 00 06 00,0.665955,
core,Flat-Color_2_M__docx_small__lsb1.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__docx_small__lsb1.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P01.docx,docx,small,1,DOCX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__docx_small__lsb1.png,ZIP,signature_pk_zip,0,DOCX,validated_ooxml_docx,1,3,13432,little,50 4b 03 04 14 00 06 00,0.627140,
core,Flat-Color_2_M__docx_small__lsb2.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__docx_small__lsb2.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P01.docx,docx,small,2,DOCX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__docx_small__lsb2.png,ZIP,signature_pk_zip,0,DOCX,validated_ooxml_docx,1,3,13432,little,50 4b 03 04 14 00 06 00,0.616500,
core,Flat-Color_2_M__docx_small__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__docx_small__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P01.docx,docx,small,3,DOCX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__docx_small__lsb3.png,ZIP,signature_pk_zip,0,DOCX,validated_ooxml_docx,1,3,13432,little,50 4b 03 04 14 00 06 00,0.581799,
core,Flat-Color_2_M__exe_large__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__exe_large__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P06.exe,exe,large,3,EXE,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__exe_large__lsb3.png,EXE,signature_mz,1,EXE,validated_mz_pe_header,1,3,1017856,little,4d 5a 90 00 03 00 00 00,0.778301,
core,Flat-Color_2_M__exe_medium__lsb2.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__exe_medium__lsb2.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P06.exe,exe,medium,2,EXE,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__exe_medium__lsb2.png,EXE,signature_mz,1,EXE,validated_mz_pe_header,1,3,505856,little,4d 5a 90 00 03 00 00 00,0.762716,
core,Flat-Color_2_M__exe_medium__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__exe_medium__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P06.exe,exe,medium,3,EXE,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__exe_medium__lsb3.png,EXE,signature_mz,1,EXE,validated_mz_pe_header,1,3,505856,little,4d 5a 90 00 03 00 00 00,0.724366,
core,Flat-Color_2_M__exe_small__lsb1.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__exe_small__lsb1.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P06.exe,exe,small,1,EXE,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__exe_small__lsb1.png,EXE,signature_mz,1,EXE,validated_mz_pe_header,1,3,40448,little,4d 5a 90 00 03 00 00 00,0.593163,
core,Flat-Color_2_M__exe_small__lsb2.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__exe_small__lsb2.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P06.exe,exe,small,2,EXE,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__exe_small__lsb2.png,EXE,signature_mz,1,EXE,validated_mz_pe_header,1,3,40448,little,4d 5a 90 00 03 00 00 00,0.597446,
