stego_filename,subset,cover_filename,cover_category,cover_size_label,cover_format,payload_filename,payload_type,payload_size_class,lsb,expected_type,predicted_type,correct,status,runtime_seconds
High-Detail_2_L__exe_medium__lsb3.png,core,High-Detail_2_L.png,High-Detail,L,png,P06.exe,EXE,medium,3,EXE,EXE,1,ok,2.001672
High-Detail_2_L__exe_small__lsb1.png,core,High-Detail_2_L.png,High-Detail,L,png,P06.exe,EXE,small,1,EXE,EXE,1,ok,2.595215
High-Detail_2_L__exe_small__lsb2.png,core,High-Detail_2_L.png,High-Detail,L,png,P06.exe,EXE,small,2,EXE,EXE,1,ok,2.224267
High-Detail_2_L__exe_small__lsb3.png,core,High-Detail_2_L.png,High-Detail,L,png,P06.exe,EXE,small,3,EXE,EXE,1,ok,2.037910
High-Detail_2_L__pdf_large__lsb2.png,core,High-Detail_2_L.png,High-Detail,L,png,P02.pdf,PDF,large,2,PDF,PDF,1,ok,2.113192
High-Detail_2_L__pdf_large__lsb3.png,core,High-Detail_2_L.png,High-Detail,L,png,P02.pdf,PDF,large,3,PDF,PDF,1,ok,2.072628
High-Detail_2_L__pdf_medium__lsb1.png,core,High-Detail_2_L.png,High-Detail,L,png,P02.pdf,PDF,medium,1,PDF,PDF,1,ok,2.810315
High-Detail_2_L__pdf_medium__lsb2.png,core,High-Detail_2_L.png,High-Detail,L,png,P02.pdf,PDF,medium,2,PDF,PDF,1,ok,2.870436
High-Detail_2_L__pdf_medium__lsb3.png,core,High-Detail_2_L.png,High-Detail,L,png,P02.pdf,PDF,medium,3,PDF,PDF,1,ok,2.627611
High-Detail_2_L__pdf_small__lsb1.png,core,High-Detail_2_L.png,High-Detail,L,png,P02.pdf,PDF,small,1,PDF,PDF,1,ok,2.529440
High-Detail_2_L__pdf_small__lsb2.png,core,High-Detail_2_L.png,High-Detail,L,png,P02.pdf,PDF,small,2,PDF,PDF,1,ok,1.856924
High-Detail_2_L__pdf_small__lsb3.png,core,High-Detail_2_L.png,High-Detail,L,png,P02.pdf,PDF,small,3,PDF,PDF,1,ok,2.348973
High-Detail_2_L__pptx_large__lsb2.png,core,High-Detail_2_L.png,High-Detail,L,png,P04.pptx,PPTX,large,2,PPTX,PPTX,1,ok,1.874399
High-Detail_2_L__pptx_large__lsb3.png,core,High-Detail_2_L.png,High-Detail,L,png,P04.pptx,PPTX,large,3,PPTX,PPTX,1,ok,1.789241
High-Detail_2_L__pptx_medium__lsb1.png,core,High-Detail_2_L.png,High-Detail,L,png,P04.pptx,PPTX,medium,1,PPTX,PPTX,1,ok,1.648886
High-Detail_2_L__pptx_medium__lsb2.png,core,High-Detail_2_L.png,High-Detail,L,png,P04.pptx,PPTX,medium,2,PPTX,PPTX,1,ok,2.182471
High-Detail_2_L__pptx_medium__lsb3.png,core,High-Detail_2_L.png,High-Detail,L,png,P04.pptx,PPTX,medium,3,PPTX,PPTX,1,ok,2.246974
High-Detail_2_L__pptx_small__lsb1.png,core,High-Detail_2_L.png,High-Detail,L,png,P04.pptx,PPTX,small,1,PPTX,PPTX,1,ok,1.664345
High-Detail_2_L__pptx_small__lsb2.png,core,High-Detail_2_L.png,High-Detail,L,png,P04.pptx,PPTX,small,2,PPTX,PPTX,1,ok,1.841057
High-Detail_2_L__pptx_small__lsb3.png,core,High-Detail_2_L.png,High-Detail,L,png,P04.pptx,PPTX,small,3,PPTX,PPTX,1,ok,1.793410
High-Detail_2_L__rtf_large__lsb2.png,core,High-Detail_2_L.png,High-Detail,L,png,P05.rtf,RTF,large,2,RTF,RTF,1,ok,1.839569
High-Detail_2_L__rtf_large__lsb3.png,core,High-Detail_2_L.png,High-Detail,L,png,P05.rtf,RTF,large,3,RTF,RTF,1,ok,2.782834
High-Detail_2_L__rtf_medium__lsb1.png,core,High-Detail_2_L.png,High-Detail,L,png,P05.rtf,RTF,medium,1,RTF,RTF,1,ok,2.309815
